game_name,Gear Ratio,Voltage,Peak Power Electrical (both motor),Power Electrical Rated (both motor),Expected Cold Crank Current,Expected Rated Current,Ah needed lead acid battery (50%),Ah needed lithium ion battery (80%),Expected Watt Hours,Expected Ah From Wh (100%)
Game1CharlesPhone,16.0,12.0,2611.701960784314,447.6714862877511,217.6418300653595,37.30595719064593,149.2238287625837,93.26489297661482,895.3429725755022,74.61191438129185
Game1CharlesPhone,16.0,24.0,2611.701960784314,447.6714862877511,108.82091503267975,18.652978595322963,74.61191438129185,46.63244648830741,895.3429725755022,37.30595719064593
Game1CharlesPhone,16.0,36.0,2611.701960784314,447.6714862877511,72.54727668845317,12.435319063548642,49.74127625419457,31.088297658871603,895.3429725755022,24.870638127097283
Game1CharlesPhone,16.0,48.0,2611.701960784314,447.6714862877511,54.410457516339875,9.326489297661482,37.30595719064593,23.316223244153704,895.3429725755022,18.652978595322963
Game1CharlesPhone,20.0,12.0,3178.5525671614378,435.86821876339536,264.87938059678646,36.32235156361628,145.28940625446512,90.8058789090407,871.7364375267907,72.64470312723256
Game1CharlesPhone,20.0,24.0,3178.5525671614378,435.86821876339536,132.43969029839323,18.16117578180814,72.64470312723256,45.40293945452035,871.7364375267907,36.32235156361628
Game1CharlesPhone,20.0,36.0,3178.5525671614378,435.86821876339536,88.2931268655955,12.107450521205427,48.42980208482171,30.268626303013566,871.7364375267907,24.214901042410855
Game1CharlesPhone,20.0,48.0,3178.5525671614378,435.86821876339536,66.21984514919662,9.08058789090407,36.32235156361628,22.701469727260175,871.7364375267907,18.16117578180814
Game1CharlesPhone,25.0,12.0,3178.5525671614378,348.6945750107163,264.87938059678646,29.057881250893022,116.23152500357209,72.64470312723255,697.3891500214326,58.115762501786044
Game1CharlesPhone,25.0,24.0,3178.5525671614378,348.6945750107163,132.43969029839323,14.528940625446511,58.115762501786044,36.32235156361627,697.3891500214326,29.057881250893022
Game1CharlesPhone,25.0,36.0,3178.5525671614378,348.6945750107163,88.2931268655955,9.685960416964342,38.74384166785737,24.214901042410855,697.3891500214326,19.371920833928684
Game1CharlesPhone,25.0,48.0,3178.5525671614378,348.6945750107163,66.21984514919662,7.2644703127232555,29.057881250893022,18.161175781808137,697.3891500214326,14.528940625446511
