game_name,Gear Ratio,Voltage,Peak Power Electrical (both motor),Power Electrical Rated (both motor),Expected Cold Crank Current,Expected Rated Current,Ah needed lead acid battery (50%),Ah needed lithium ion battery (80%),Expected Watt Hours,Expected Ah From Wh (100%)
Game1CharlesPhone,16.0,12.0,2611.701960784314,447.6714862877511,217.6418300653595,37.30595719064593,149.2238287625837,93.26489297661482,895.3429725755022,74.61191438129185
Game1CharlesPhone,16.0,24.0,2611.701960784314,447.6714862877511,108.82091503267975,18.652978595322963,74.61191438129185,46.63244648830741,895.3429725755022,37.30595719064593
Game1CharlesPhone,16.0,36.0,2611.701960784314,447.6714862877511,72.54727668845317,12.435319063548642,49.74127625419457,31.088297658871603,895.3429725755022,24.870638127097283
Game1CharlesPhone,16.0,48.0,2611.701960784314,447.6714862877511,54.410457516339875,9.326489297661482,37.30595719064593,23.316223244153704,895.3429725755022,18.652978595322963
Game1CharlesPhone,20.0,12.0,3178.5525671614378,435.86821876339536,264.87938059678646,36.32235156361628,145.28940625446512,90.8058789090407,871.7364375267907,72.64470312723256
Game1CharlesPhone,20.0,24.0,3178.5525671614378,435.86821876339536,132.43969029839323,18.16117578180814,72.64470312723256,45.40293945452035,871.7364375267907,36.32235156361628
Game1CharlesPhone,20.0,36.0,3178.5525671614378,435.86821876339536,88.2931268655955,12.107450521205427,48.42980208482171,30.268626303013566,871.7364375267907,24.214901042410855
Game1CharlesPhone,20.0,48.0,3178.5525671614378,435.86821876339536,66.21984514919662,9.08058789090407,36.32235156361628,22.701469727260175,871.7364375267907,18.16117578180814
Game1CharlesPhone,25.0,12.0,3178.5525671614378,348.6945750107163,264.87938059678646,29.057881250893022,116.23152500357209,72.64470312723255,697.3891500214326,58.115762501786044
Game1CharlesPhone,25.0,24.0,3178.5525671614378,348.6945750107163,132.43969029839323,14.528940625446511,58.115762501786044,36.32235156361627,697.3891500214326,29.057881250893022
Game1CharlesPhone,25.0,36.0,3178.5525671614378,348.6945750107163,88.2931268655955,9.685960416964342,38.74384166785737,24.214901042410855,697.3891500214326,19.371920833928684
Game1CharlesPhone,25.0,48.0,3178.5525671614378,348.6945750107163,66.21984514919662,7.2644703127232555,29.057881250893022,18.161175781808137,697.3891500214326,14.528940625446511
Game2CharlesPhone,16.0,12.0,2611.701960784314,398.6639367233781,217.6418300653595,33.221994726948175,132.8879789077927,83.05498681737043,797.3278734467561,66.44398945389635
Game2CharlesPhone,16.0,24.0,2611.701960784314,398.6639367233781,108.82091503267975,16.610997363474088,66.44398945389635,41.52749340868522,797.3278734467561,33.221994726948175
Game2CharlesPhone,16.0,36.0,2611.701960784314,398.6639367233781,72.54727668845317,11.073998242316058,44.29599296926423,27.684995605790146,797.3278734467561,22.147996484632117
Game2CharlesPhone,16.0,48.0,2611.701960784314,398.6639367233781,54.410457516339875,8.305498681737044,33.221994726948175,20.76374670434261,797.3278734467561,16.610997363474088
Game2CharlesPhone,20.0,12.0,3178.5525671614378,388.1527979942203,264.87938059678646,32.34606649951836,129.38426599807343,80.86516624879589,776.3055959884406,64.69213299903672
Game2CharlesPhone,20.0,24.0,3178.5525671614378,388.1527979942203,132.43969029839323,16.17303324975918,64.69213299903672,40.432583124397944,776.3055959884406,32.34606649951836
Game2CharlesPhone,20.0,36.0,3178.5525671614378,388.1527979942203,88.2931268655955,10.782022166506119,43.128088666024475,26.955055416265296,776.3055959884406,21.564044333012237
Game2CharlesPhone,20.0,48.0,3178.5525671614378,388.1527979942203,66.21984514919662,8.08651662487959,32.34606649951836,20.216291562198972,776.3055959884406,16.17303324975918
Game2CharlesPhone,25.0,12.0,3178.5525671614378,310.5222383953762,264.87938059678646,25.876853199614683,103.50741279845873,64.6921329990367,621.0444767907524,51.753706399229365
Game2CharlesPhone,25.0,24.0,3178.5525671614378,310.5222383953762,132.43969029839323,12.938426599807341,51.753706399229365,32.34606649951835,621.0444767907524,25.876853199614683
Game2CharlesPhone,25.0,36.0,3178.5525671614378,310.5222383953762,88.2931268655955,8.625617733204894,34.50247093281958,21.564044333012234,621.0444767907524,17.25123546640979
Game2CharlesPhone,25.0,48.0,3178.5525671614378,310.5222383953762,66.21984514919662,6.469213299903671,25.876853199614683,16.173033249759175,621.0444767907524,12.938426599807341
