game_name,RPM Max,Gear Ratio,Expected RPM Output,Needed RPM max,radius (m),Torque,Angular Velocity,Power Mechanical (W),Motor Efficiency,Rated Power Electrical,Peak Power Electrical,Observed Peak Speed (m/s),Observed Peak Output RPM,Positive Accel Samples
Game1CharlesPhone,3000.0,16.0,187.5,2464.991758607275,0.3048,0.7370624289990737,258.1333333333333,190.26038167229422,0.85,223.83574314387556,1305.850980392157,4.91744,154.0619849129547,361304
Game1CharlesPhone,3000.0,20.0,150.0,3000.0,0.3048,0.5896499431992588,314.1592653589793,185.24399297444302,0.85,217.93410938169768,1589.2762835807189,4.91744,154.0619849129547,361304
Game1CharlesPhone,3000.0,25.0,120.0,3000.0,0.3048,0.471719954559407,314.1592653589793,148.1951943795544,0.85,174.34728750535814,1589.2762835807189,4.91744,154.0619849129547,361304
Game2CharlesPhone,3000.0,16.0,187.5,2464.991758607275,0.3048,0.6563746375546321,258.1333333333333,169.4321731074357,0.85,199.33196836168904,1305.850980392157,4.91744,154.0619849129547,361028
Game2CharlesPhone,3000.0,20.0,150.0,3000.0,0.3048,0.5250997100437056,314.1592653589793,164.96493914754362,0.85,194.07639899711015,1589.2762835807189,4.91744,154.0619849129547,361028
Game2CharlesPhone,3000.0,25.0,120.0,3000.0,0.3048,0.42007976803496444,314.1592653589793,131.97195131803488,0.85,155.2611191976881,1589.2762835807189,4.91744,154.0619849129547,361028
