minute_from_start,mean_user_acc_g,median_user_acc_g,p90_user_acc_g,mean_rot_rate,median_rot_rate,p90_rot_rate
0,0.2449,0.1888,0.5251,0.8248,0.4973,2.0547
1,0.2556,0.1794,0.566,0.8451,0.6172,1.8197
2,0.19,0.1146,0.4447,0.594,0.3305,1.6248
3,0.1755,0.1419,0.345,0.6562,0.3752,1.5869
4,0.1697,0.13,0.35,0.6323,0.4046,1.7159
5,0.2692,0.2208,0.5202,0.7297,0.5147,1.4353
6,0.182,0.1426,0.3547,0.7724,0.439,1.9576
7,0.2339,0.1812,0.4651,0.6464,0.4083,1.4252
8,0.1953,0.1461,0.4179,0.7332,0.4261,1.7695
9,0.2196,0.173,0.4211,0.6439,0.4505,1.3852
10,0.2742,0.2055,0.5937,0.691,0.4913,1.6167
11,0.1933,0.1504,0.3842,0.8914,0.6379,2.1815
12,0.1975,0.1352,0.4124,0.6147,0.3449,1.6137
13,0.1846,0.1385,0.4006,0.5714,0.3713,1.3903
14,0.2448,0.2091,0.459,0.8701,0.556,2.3103
15,0.1262,0.09,0.2723,0.4401,0.2555,1.078
16,0.1907,0.1352,0.4169,0.6364,0.3445,1.4944
17,0.2334,0.1724,0.4877,0.672,0.4423,1.3965
18,0.1811,0.1342,0.3844,0.5896,0.3592,1.3215
19,0.1735,0.1114,0.408,0.6507,0.4426,1.5409
20,0.2228,0.1864,0.4513,0.6416,0.4047,1.6539
21,0.2175,0.1702,0.4237,0.7185,0.395,1.9351
22,0.1646,0.1101,0.3654,0.6257,0.4282,1.4252
23,0.2248,0.1754,0.4605,0.7784,0.4688,1.9659
24,0.2368,0.1748,0.5175,0.7092,0.3865,1.8743
25,0.2517,0.1847,0.5467,0.8152,0.477,2.0931
26,0.2385,0.1938,0.4683,0.8279,0.51,2.0168
27,0.284,0.232,0.5608,0.876,0.5546,2.1192
28,0.1992,0.1553,0.4089,0.6708,0.4259,1.5428
29,0.1869,0.1412,0.3972,0.663,0.4926,1.5506
30,0.2123,0.1681,0.4396,0.587,0.3953,1.3143
31,0.1885,0.1308,0.3991,0.5208,0.3057,1.3224
32,0.196,0.1525,0.3853,0.6423,0.3873,1.5903
33,0.2212,0.1782,0.4389,0.6253,0.4827,1.3587
34,0.225,0.1587,0.487,0.5726,0.3196,1.5396
35,0.1931,0.1518,0.4005,0.5678,0.3852,1.3597
36,0.1987,0.1502,0.4191,0.6371,0.3693,1.5071
37,0.1364,0.1132,0.2566,0.7454,0.51,1.5874
