minute_from_start,mean_user_acc_g,median_user_acc_g,p90_user_acc_g,mean_rot_rate,median_rot_rate,p90_rot_rate
0,0.1156,0.0355,0.2775,0.6975,0.2204,1.7498
1,0.1034,0.0718,0.2483,0.6071,0.3157,1.7151
2,0.0938,0.0288,0.3016,0.3393,0.069,1.0516
3,0.1046,0.0669,0.2231,0.7592,0.4127,1.9932
4,0.2951,0.2369,0.6218,0.9571,0.7219,2.0543
5,0.2248,0.1725,0.4631,0.9048,0.5969,2.1352
6,0.2349,0.1844,0.4915,0.7481,0.5698,1.7511
7,0.2138,0.1685,0.4418,0.8178,0.5301,2.0157
8,0.1364,0.0931,0.3169,0.5625,0.2348,1.5361
9,0.2222,0.1705,0.4503,0.6841,0.4373,1.6069
10,0.2358,0.1933,0.4579,0.8558,0.5934,1.8925
11,0.2663,0.2232,0.5293,0.8665,0.6855,1.8965
12,0.1466,0.112,0.3123,0.6928,0.3784,1.8452
13,0.293,0.2288,0.6075,0.846,0.6212,1.9222
14,0.0918,0.0656,0.2004,0.4321,0.2161,1.1343
15,0.0575,0.0355,0.1418,0.2844,0.1203,0.8835
16,0.18,0.0958,0.5012,0.3851,0.2561,0.9218
17,0.0843,0.0635,0.1807,0.542,0.3714,1.3093
18,0.0984,0.0711,0.2086,0.5585,0.2674,1.5125
19,0.2416,0.1835,0.5151,0.8398,0.5493,2.1662
20,0.2351,0.1758,0.4703,0.6986,0.4681,1.4977
21,0.1501,0.1061,0.3245,0.4702,0.2875,1.1435
22,0.1815,0.1484,0.3577,0.8151,0.4921,2.0278
23,0.2079,0.1489,0.4577,0.8081,0.4696,2.0028
24,0.2612,0.2051,0.5272,0.8376,0.5877,1.9691
25,0.2145,0.1562,0.4536,0.7293,0.4695,1.7768
26,0.1576,0.1056,0.3594,0.6164,0.3935,1.4274
27,0.2312,0.1784,0.4866,0.7499,0.5112,1.8315
28,0.1712,0.1414,0.3284,0.5856,0.4927,1.2534
29,0.2151,0.1584,0.4646,0.6586,0.4013,1.4335
30,0.2043,0.1651,0.3852,0.6293,0.4387,1.4041
31,0.194,0.1422,0.4063,0.7627,0.5546,1.5675
32,0.253,0.1879,0.5614,0.6923,0.4763,1.6878
33,0.1911,0.1509,0.3801,0.7759,0.4482,1.9361
34,0.1771,0.1376,0.3721,0.7052,0.4179,1.8787
35,0.2335,0.1713,0.4864,0.7748,0.5069,1.8044
36,0.1918,0.1239,0.4427,0.6471,0.4077,1.4772
37,0.1868,0.1434,0.3902,0.8019,0.5261,2.0259
38,0.2194,0.1576,0.4592,0.7676,0.4868,1.8684
39,0.2146,0.1784,0.4162,0.7538,0.5067,1.8916
40,0.1553,0.1014,0.3224,0.5601,0.3746,1.2387
41,0.2184,0.166,0.4493,0.7522,0.4715,1.9219
42,0.1888,0.1488,0.3876,0.7493,0.5833,1.7108
43,0.1958,0.1538,0.409,0.7908,0.4468,2.1651
44,0.2142,0.158,0.4509,0.6318,0.404,1.3001
45,0.1791,0.1442,0.353,0.7247,0.5139,1.6514
46,0.1786,0.122,0.4063,0.7454,0.5106,1.795
47,0.1752,0.1074,0.4187,0.6638,0.3229,1.8552
48,0.1759,0.1287,0.3878,0.6169,0.2861,1.881
49,0.2187,0.1681,0.4537,0.7073,0.4735,1.5606
50,0.21,0.171,0.4057,0.6912,0.4046,1.7619
51,0.1699,0.1224,0.3625,0.7051,0.3816,1.6961
52,0.2281,0.1658,0.4791,0.8173,0.4774,2.143
53,0.1333,0.0837,0.3197,0.4172,0.2897,0.9699
54,0.2267,0.1683,0.4878,0.8062,0.563,1.8081
55,0.1795,0.1328,0.3805,0.7579,0.3956,2.0893
56,0.2476,0.1973,0.4764,0.8292,0.5579,1.7976
57,0.1729,0.1025,0.4044,0.5094,0.3145,1.263
58,0.1631,0.0654,0.4669,0.9105,0.3799,2.5592
