game_name,motor_name,battery_name,representative_profile_minutes,session_duration_hours,usable_energy_wh,nominal_energy_wh,nominal_capacity_ah,battery_mass_kg,total_vehicle_mass_kg,average_battery_power_w,peak_battery_power_w,peak_traction_force_n,peak_wheel_torque_nm,peak_motor_torque_nm,peak_motor_current_a,peak_battery_current_a,peak_battery_c_rate,motor_continuous_current_violation,motor_peak_current_violation,battery_continuous_c_violation,battery_peak_c_violation,battery_iteration_count,converged,forward_axis_x,forward_axis_y,forward_axis_z,winsor_limit_m_s2,battery_mass_history_kg,notes
Game1CharlesPhone,baseline_48v,lifepo4_high_rate,60.0,2.0,630.3633016821346,741.6038843319232,15.450080923581732,6.741716606297794,127.7417166062978,315.1816508410673,4604.0293351828695,729.471963956728,222.48894900680205,10.076492255742846,91.60447505220769,95.91727781630978,6.208205529196261,True,True,True,True,3,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 6.666137, 6.738568, 6.741717]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game1CharlesPhone,baseline_48v,nmc_high_rate,60.0,2.0,620.4768667084707,689.4187407871896,14.362890433066449,4.309402225192946,125.30940222519294,310.2384333542353,4518.543209882416,715.575777134471,218.25061202601364,9.884538588134674,89.85944171031522,94.13631687255032,6.554134581144501,True,True,True,True,2,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 4.32836, 4.309402]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game1CharlesPhone,baseline_48v,sla_baseline,60.0,2.0,747.6849677124662,1246.1416128541105,25.961283601127302,35.5973264716199,156.5973264716199,373.8424838562331,5618.18864770044,894.3285090948361,272.770195273925,12.353722612043704,112.3065692003973,117.0455968270925,4.508467247821679,True,True,True,True,5,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 29.680182, 34.458205, 35.38345, 35.562628, 35.597326]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game1CharlesPhone,high_torque_48v,lifepo4_high_rate,60.0,2.0,649.4972165626721,764.1143724266731,15.91904942555569,6.9463294351836105,128.9463294351836,324.74860828133603,4764.478625311466,736.3541026509379,224.58800130853604,8.718478311666772,67.06521778205209,99.25997136065554,6.235295130204714,True,False,True,True,3,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 6.859711, 6.942632, 6.946329]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game1CharlesPhone,high_torque_48v,nmc_high_rate,60.0,2.0,639.0411406423464,710.0457118248293,14.79261899635061,4.438243271993906,126.43824327199391,319.5205703211732,4674.06918892157,722.0250199629629,220.21763108870368,8.548821082636012,65.76016217412317,97.37644143586603,6.582772223085657,True,False,True,True,2,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 4.454049, 4.438243]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game1CharlesPhone,high_torque_48v,sla_baseline,60.0,2.0,774.2471692700854,1290.4119487834757,26.88358226632241,36.86101908394977,158.86101908394977,387.1235846350427,5842.818863624529,907.2613337713939,276.7147068002751,10.74203054348894,82.63100418068416,121.72539299217767,4.5278710175714,True,False,True,True,5,True,0.8553286104914362,0.4995686486240652,-0.13727393556941,9.19236263853092,"[5.0, 30.542049, 35.613846, 36.621194, 36.821277, 36.861019]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game2CharlesPhone,baseline_48v,lifepo4_high_rate,60.0,2.0,571.7480230385245,672.6447329864994,14.013431937218739,6.113326999924557,127.11332699992455,285.87401151926224,4880.997647895659,645.4663530527546,196.86723768109013,8.91608866309285,81.05535148266227,101.68745099782622,7.2564273657869025,True,True,True,True,2,True,-0.8613610210410034,-0.5000116662459582,0.08969685083179268,8.81021044166577,"[5.0, 6.071596, 6.113327]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game2CharlesPhone,baseline_48v,nmc_high_rate,60.0,2.0,563.7458331564943,626.3842590627714,13.049672063807739,3.9155778182991847,124.91557781829918,281.87291657824716,4798.585007779575,634.4780010372767,193.5157903163694,8.764302097661657,79.67547361510597,99.97052099540781,7.660768830556927,True,False,True,True,2,True,-0.8613610210410034,-0.5000116662459582,0.08969685083179268,8.81021044166577,"[5.0, 3.942321, 3.915578]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game2CharlesPhone,baseline_48v,sla_baseline,60.0,2.0,664.7560424001607,1107.9267373336013,23.08180702778336,31.651591147899456,152.65159114789947,332.37802120008035,5838.64822513761,773.1530966850147,235.81169448892948,10.679877467795718,97.08979516177925,121.63850469036687,5.269886562345475,True,True,True,True,5,True,-0.8613610210410034,-0.5000116662459582,0.08969685083179268,8.81021044166577,"[5.0, 27.03306, 30.853969, 31.5167, 31.631652, 31.651591]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
Game2CharlesPhone,high_torque_48v,lifepo4_high_rate,60.0,2.0,588.7700653741332,692.670665146039,14.430638857209146,6.29501934607411,128.2950193460741,294.3850326870666,5050.573869185585,651.3746029941261,198.66925391320845,7.712315757500328,59.32550582692559,105.22028894136635,7.2914505021239036,False,False,True,True,2,True,-0.8613610210410034,-0.5000116662459582,0.08969685083179268,8.81021044166577,"[5.0, 6.24528, 6.295019]",Surrogate speed comes from filtered under-leg IMU acceleration with clipping and no zero-velocity resets. | Battery power uses no-regeneration logic; negative wheel power falls back to auxiliary load only.
