game_name,source_path,raw_samples,resampled_samples,raw_duration_min,resampled_duration_min,impact_sample_count,impact_window_count,gyro_available,winsor_limit_planar_x_m_s2,winsor_limit_planar_y_m_s2,clip_limit_m_s2,peak_planar_mag_m_s2,peak_propulsion_m_s2,peak_yaw_rate_rad_s,peak_speed_m_s,peak_left_wheel_speed_m_s,peak_right_wheel_speed_m_s,stationary_samples
Game1CalebPhone,data\processed\clean_games_caleb\Game1CalebPhone_clean.csv,29700,296991,49.498333333333335,49.498333333333335,19577,203,False,5.232629934741188,6.352189136357039,2.85,57.81912532339232,2.849999999999999,0.0,5.992504685547487,5.992504685547487,5.992504685547487,47154
Game2CalebPhone,data\processed\clean_games_caleb\Game2CalebPhone_clean.csv,20806,208051,34.675,34.675,11181,121,False,5.073974719464415,6.13815491800321,2.85,22.90193003625883,2.849999999543229,0.0,5.153711856041764,5.153711856041764,5.153711856041764,25967
